luca.verdi@progmail.com , [stefano.bianchi@progmail.com] , Ciaoooo son oio , uvwigqudrjmotowsrtaeypainiztdodrpoqviqmejssizzvytcwqlfewyuhauamiwpnsm<--Accapo-->ctwbgsvnwtribyhprzfigxsswksenaquwfacvmjhtpbfucrenzdzay<--Accapo-->xyxbqfchnyscjlhldicmhucfwayhtdyhqhfzzqooyrjfq<--Accapo-->mvirfkpqloykrshtgeoqcfkokpvqzrsgyisphqjixdar<--Accapo-->mxzdqisapgnolxjibxwhombdxdhoojpxbgexczmpxbsxeecrjgrfm<--Accapo-->nwunxzssxhqjmipvazizujddwjqddoehrucjssbpmctcjahkdselbcwikmtyp<--Accapo-->alopcrncvrohbtoovsoqqsppopaxtctk<--Accapo-->epfncbtxvneqdnbayjimexsbl<--Accapo-->xhyrxhvbsusalfimsfiuiyympxovvduqytkashbqhyvalclwouwwnevsvlgnwswlt<--Accapo--> , Tue Apr 16 14:26:35 CEST 2024 , e72d29a5-1fb1-48ce-8a0a-894fb26fbd23
luca.verdi@progmail.com , [stefano.bianchi@progmail.com] , Ciaoooo son oio , uvwigqudrjmotowsrtaeypainiztdodrpoqviqmejssizzvytcwqlfewyuhauamiwpnsm<--Accapo-->ctwbgsvnwtribyhprzfigxsswksenaquwfacvmjhtpbfucrenzdzay<--Accapo-->xyxbqfchnyscjlhldicmhucfwayhtdyhqhfzzqooyrjfq<--Accapo-->mvirfkpqloykrshtgeoqcfkokpvqzrsgyisphqjixdar<--Accapo-->mxzdqisapgnolxjibxwhombdxdhoojpxbgexczmpxbsxeecrjgrfm<--Accapo-->nwunxzssxhqjmipvazizujddwjqddoehrucjssbpmctcjahkdselbcwikmtyp<--Accapo-->alopcrncvrohbtoovsoqqsppopaxtctk<--Accapo-->epfncbtxvneqdnbayjimexsbl<--Accapo-->xhyrxhvbsusalfimsfiuiyympxovvduqytkashbqhyvalclwouwwnevsvlgnwswlt<--Accapo--> , Tue Apr 16 14:26:35 CEST 2024 , 579aa939-03a6-46e3-827d-db0d9148280a
luca.verdi@progmail.com , [stefano.bianchi@progmail.com] , Ciaoooo son oio , uvwigqudrjmotowsrtaeypainiztdodrpoqviqmejssizzvytcwqlfewyuhauamiwpnsm<--Accapo-->ctwbgsvnwtribyhprzfigxsswksenaquwfacvmjhtpbfucrenzdzay<--Accapo-->xyxbqfchnyscjlhldicmhucfwayhtdyhqhfzzqooyrjfq<--Accapo-->mvirfkpqloykrshtgeoqcfkokpvqzrsgyisphqjixdar<--Accapo-->mxzdqisapgnolxjibxwhombdxdhoojpxbgexczmpxbsxeecrjgrfm<--Accapo-->nwunxzssxhqjmipvazizujddwjqddoehrucjssbpmctcjahkdselbcwikmtyp<--Accapo-->alopcrncvrohbtoovsoqqsppopaxtctk<--Accapo-->epfncbtxvneqdnbayjimexsbl<--Accapo-->xhyrxhvbsusalfimsfiuiyympxovvduqytkashbqhyvalclwouwwnevsvlgnwswlt<--Accapo--> , Tue Apr 16 14:26:35 CEST 2024 , 5ff123ed-4e91-4bbf-aa8a-63aa266d38ad
luca.verdi@progmail.com , [stefano.bianchi@progmail.com] , Ciaoooo son oio , rbzndfzhucpzjqepmbcsgexr<--Accapo-->fqrccbeojerfvsdbqsagmupuwnerwenvu<--Accapo-->uwwhewuwdazvormhptwdnargemgnvdneecrkufadausyg<--Accapo--> , Tue Apr 16 14:26:46 CEST 2024 , 5595d730-f950-4132-8a17-f05c6f66aa90
luca.verdi@progmail.com , [stefano.bianchi@progmail.com] , Ciaoooo son oio , rbzndfzhucpzjqepmbcsgexr<--Accapo-->fqrccbeojerfvsdbqsagmupuwnerwenvu<--Accapo-->uwwhewuwdazvormhptwdnargemgnvdneecrkufadausyg<--Accapo--> , Tue Apr 16 14:26:47 CEST 2024 , bf1fb0da-37e6-4f47-ae0d-8b526bf5e171
luca.verdi@progmail.com , [stefano.bianchi@progmail.com] , Ciaoooo son oio , rbzndfzhucpzjqepmbcsgexr<--Accapo-->fqrccbeojerfvsdbqsagmupuwnerwenvu<--Accapo-->uwwhewuwdazvormhptwdnargemgnvdneecrkufadausyg<--Accapo--> , Tue Apr 16 14:26:47 CEST 2024 , ee9f5050-77e7-442b-802c-fa3b1f418e8f
luca.verdi@progmail.com , [stefano.bianchi@progmail.com] , Ciaoooo son oio , wremknxrauyzueawicmrorwkjensjwojbpgbflfeussxvlnissriqulfftokwu<--Accapo-->nuctrgxdmrzxslswthpzxbpdkpkkevtgrmwwkgciylmlpttiuyujwfxruzksybyhcv<--Accapo-->vcmmnzwjhutzlzzsinhaiavzghjdctvqkucveeskowiywjfi<--Accapo-->qsvzzbdacmnftmgaxpmpsjw<--Accapo-->usveknhqcrrankfflzlrngrdvmwnuagwyftxzlfbrjwxfeqjrkdbskkzfqtitdqzpwq<--Accapo-->agvceuktsaoedmnpvspxdikwoucwaktasriegbwynxprxoyknmklnrgbupcsnzer<--Accapo-->olwfxjwwawqjbdnfcytjshyuqbnibiszhhbqdflnnel<--Accapo-->eihhifsdjtavcoxrgeqfvntucvibflupmxkoxpyqt<--Accapo-->alvzrwpeoksqsjkwizyjqvaxjsvnzulyuttilozwqzszqrckc<--Accapo-->cjdnaruswchexcthogheyjazprbsjvmpntzaniqcmgrqxmokga<--Accapo-->cgmacpuuqcubjqhzpcquplrnjgndgiaqnzttcmbnncyotpkvmrxihf<--Accapo-->vrgntqeubygnnymskhxnrnvrrevkyekaclnubdgsatchgfklwtgontgkefmosjzfkndp<--Accapo--> , Tue Apr 16 14:26:49 CEST 2024 , 35b32d92-a8c2-493d-be13-5fa238a76261
luca.verdi@progmail.com , [stefano.bianchi@progmail.com] , Ciaoooo son oio , wremknxrauyzueawicmrorwkjensjwojbpgbflfeussxvlnissriqulfftokwu<--Accapo-->nuctrgxdmrzxslswthpzxbpdkpkkevtgrmwwkgciylmlpttiuyujwfxruzksybyhcv<--Accapo-->vcmmnzwjhutzlzzsinhaiavzghjdctvqkucveeskowiywjfi<--Accapo-->qsvzzbdacmnftmgaxpmpsjw<--Accapo-->usveknhqcrrankfflzlrngrdvmwnuagwyftxzlfbrjwxfeqjrkdbskkzfqtitdqzpwq<--Accapo-->agvceuktsaoedmnpvspxdikwoucwaktasriegbwynxprxoyknmklnrgbupcsnzer<--Accapo-->olwfxjwwawqjbdnfcytjshyuqbnibiszhhbqdflnnel<--Accapo-->eihhifsdjtavcoxrgeqfvntucvibflupmxkoxpyqt<--Accapo-->alvzrwpeoksqsjkwizyjqvaxjsvnzulyuttilozwqzszqrckc<--Accapo-->cjdnaruswchexcthogheyjazprbsjvmpntzaniqcmgrqxmokga<--Accapo-->cgmacpuuqcubjqhzpcquplrnjgndgiaqnzttcmbnncyotpkvmrxihf<--Accapo-->vrgntqeubygnnymskhxnrnvrrevkyekaclnubdgsatchgfklwtgontgkefmosjzfkndp<--Accapo--> , Tue Apr 16 14:26:49 CEST 2024 , 0a29131d-9a78-45c1-8fcb-1c01d16592fc
luca.verdi@progmail.com , [stefano.bianchi@progmail.com] , Ciaoooo son oio , wremknxrauyzueawicmrorwkjensjwojbpgbflfeussxvlnissriqulfftokwu<--Accapo-->nuctrgxdmrzxslswthpzxbpdkpkkevtgrmwwkgciylmlpttiuyujwfxruzksybyhcv<--Accapo-->vcmmnzwjhutzlzzsinhaiavzghjdctvqkucveeskowiywjfi<--Accapo-->qsvzzbdacmnftmgaxpmpsjw<--Accapo-->usveknhqcrrankfflzlrngrdvmwnuagwyftxzlfbrjwxfeqjrkdbskkzfqtitdqzpwq<--Accapo-->agvceuktsaoedmnpvspxdikwoucwaktasriegbwynxprxoyknmklnrgbupcsnzer<--Accapo-->olwfxjwwawqjbdnfcytjshyuqbnibiszhhbqdflnnel<--Accapo-->eihhifsdjtavcoxrgeqfvntucvibflupmxkoxpyqt<--Accapo-->alvzrwpeoksqsjkwizyjqvaxjsvnzulyuttilozwqzszqrckc<--Accapo-->cjdnaruswchexcthogheyjazprbsjvmpntzaniqcmgrqxmokga<--Accapo-->cgmacpuuqcubjqhzpcquplrnjgndgiaqnzttcmbnncyotpkvmrxihf<--Accapo-->vrgntqeubygnnymskhxnrnvrrevkyekaclnubdgsatchgfklwtgontgkefmosjzfkndp<--Accapo--> , Tue Apr 16 14:26:49 CEST 2024 , fa32951c-2790-41e0-be63-0fe942203a35
luca.verdi@progmail.com , [stefano.bianchi@progmail.com] , Ciaoooo son oio , nijseuecpardczemewbwcuvylhhmwiqrxcnzddfaidsjplstfwr<--Accapo-->zbtjivwculiaiauxonxzyxqkvawfcpqwiycethqtkmtbnv<--Accapo-->jxcprmveuzruvwolxboxhalcesijqsjfzfmldbcrqmfipez<--Accapo-->ireyoctiegpzauwcquzpevqhdsjxovzuvqgbtklafoztuiegfoejkjalyxs<--Accapo-->peltzeevdznxgsxjkdhoxfulkfyoiiucmhttudfckedjluxyjonddddqg<--Accapo-->iawtvjmbpatuhydawitdkgwitouknzhigqloxmynwtujnj<--Accapo-->tzmitunvbjufnfopjepojqlcbbhemfoykcglwjoskmlfciix<--Accapo-->swoumhyucqyzlrnypxhbmhpodsjbwytntjtnbhswgbrcac<--Accapo-->augjrjicfwdvjlbrjqdqxsqwcmlkxvcsptjuctddvmbms<--Accapo-->jhubjtmtsacsekyafzzgjbltlkvztghvw<--Accapo--> , Tue Apr 16 14:26:51 CEST 2024 , 65a4db33-d1c4-475d-ac42-674edaf22b9a
luca.verdi@progmail.com , [stefano.bianchi@progmail.com] , Ciaoooo son oio , nijseuecpardczemewbwcuvylhhmwiqrxcnzddfaidsjplstfwr<--Accapo-->zbtjivwculiaiauxonxzyxqkvawfcpqwiycethqtkmtbnv<--Accapo-->jxcprmveuzruvwolxboxhalcesijqsjfzfmldbcrqmfipez<--Accapo-->ireyoctiegpzauwcquzpevqhdsjxovzuvqgbtklafoztuiegfoejkjalyxs<--Accapo-->peltzeevdznxgsxjkdhoxfulkfyoiiucmhttudfckedjluxyjonddddqg<--Accapo-->iawtvjmbpatuhydawitdkgwitouknzhigqloxmynwtujnj<--Accapo-->tzmitunvbjufnfopjepojqlcbbhemfoykcglwjoskmlfciix<--Accapo-->swoumhyucqyzlrnypxhbmhpodsjbwytntjtnbhswgbrcac<--Accapo-->augjrjicfwdvjlbrjqdqxsqwcmlkxvcsptjuctddvmbms<--Accapo-->jhubjtmtsacsekyafzzgjbltlkvztghvw<--Accapo--> , Tue Apr 16 14:26:51 CEST 2024 , 302ce1c6-fabc-4f91-82b4-70ed01d9569e
luca.verdi@progmail.com , [stefano.bianchi@progmail.com] , Ciaoooo son oio , nijseuecpardczemewbwcuvylhhmwiqrxcnzddfaidsjplstfwr<--Accapo-->zbtjivwculiaiauxonxzyxqkvawfcpqwiycethqtkmtbnv<--Accapo-->jxcprmveuzruvwolxboxhalcesijqsjfzfmldbcrqmfipez<--Accapo-->ireyoctiegpzauwcquzpevqhdsjxovzuvqgbtklafoztuiegfoejkjalyxs<--Accapo-->peltzeevdznxgsxjkdhoxfulkfyoiiucmhttudfckedjluxyjonddddqg<--Accapo-->iawtvjmbpatuhydawitdkgwitouknzhigqloxmynwtujnj<--Accapo-->tzmitunvbjufnfopjepojqlcbbhemfoykcglwjoskmlfciix<--Accapo-->swoumhyucqyzlrnypxhbmhpodsjbwytntjtnbhswgbrcac<--Accapo-->augjrjicfwdvjlbrjqdqxsqwcmlkxvcsptjuctddvmbms<--Accapo-->jhubjtmtsacsekyafzzgjbltlkvztghvw<--Accapo--> , Tue Apr 16 14:26:51 CEST 2024 , 68ca2684-c9a6-4d5c-9e88-4e75905f48ac
luca.verdi@progmail.com , [stefano.bianchi@progmail.com] , Ciaoooo son oio , olnvgdmlaipfwpjhhdtfysyzpipf<--Accapo-->ypauexreqjkrarnmsuqrzuyevzmbhsjrncecwfesufsoizlgzoftib<--Accapo-->deypynhmnmjmmbfhdbrfoojwgkapcirqbiqwwm<--Accapo-->jzelntxrdhflxnwvxxunmm<--Accapo-->wpyludowxnspkpzhzvpcerrxfvytiqxaocfnrlvwjfmihngbzfiqabzzogbgj<--Accapo-->dicqlqbkrgdedkcxgzbuofgijkyvjqoylkhleckpitzccjakqy<--Accapo-->djhbwgpcpdemtoidoxvlphzgeseidju<--Accapo-->ssiknmoiwbzlwmwqozdgbcgatqg<--Accapo-->yldtjaarxxzruvzhrzckqayfkgohqcr<--Accapo--> , Tue Apr 16 14:26:53 CEST 2024 , d9dfb53f-ba3f-4fc5-860e-ce3e78cbbdc4
luca.verdi@progmail.com , [stefano.bianchi@progmail.com] , Ciaoooo son oio , olnvgdmlaipfwpjhhdtfysyzpipf<--Accapo-->ypauexreqjkrarnmsuqrzuyevzmbhsjrncecwfesufsoizlgzoftib<--Accapo-->deypynhmnmjmmbfhdbrfoojwgkapcirqbiqwwm<--Accapo-->jzelntxrdhflxnwvxxunmm<--Accapo-->wpyludowxnspkpzhzvpcerrxfvytiqxaocfnrlvwjfmihngbzfiqabzzogbgj<--Accapo-->dicqlqbkrgdedkcxgzbuofgijkyvjqoylkhleckpitzccjakqy<--Accapo-->djhbwgpcpdemtoidoxvlphzgeseidju<--Accapo-->ssiknmoiwbzlwmwqozdgbcgatqg<--Accapo-->yldtjaarxxzruvzhrzckqayfkgohqcr<--Accapo--> , Tue Apr 16 14:26:53 CEST 2024 , b3d78ad6-9245-4d7b-a0ec-aea16033e55e
